417
0	8
1	7
2	6
3	1
4	7
5	1
6	6
7	0
8	7
9	6
10	6
11	6
12	9
13	5
14	6
15	6
16	6
17	6
18	6
19	6
20	6
21	6
22	5
23	5
24	6
25	6
26	6
27	6
28	6
29	0
30	0
31	0
32	7
33	6
34	2
35	0
36	6
37	7
38	6
39	6
40	6
41	6
42	6
43	0
44	0
45	7
46	8
47	7
48	6
49	6
50	6
51	0
52	6
53	0
54	6
55	0
56	6
57	6
58	6
59	6
60	6
61	6
62	6
63	1
64	0
65	7
66	0
67	0
68	0
69	0
70	6
71	6
72	6
73	6
74	6
75	0
76	0
77	6
78	6
79	7
80	9
81	4
82	4
83	9
84	0
85	0
86	2
87	0
88	0
89	4
90	4
91	4
92	4
93	4
94	4
95	4
96	4
97	4
98	7
99	7
100	1
101	1
102	1
103	1
104	1
105	1
106	8
107	7
108	4
109	0
110	0
111	0
112	0
113	7
114	7
115	7
116	7
117	7
118	7
119	7
120	6
121	6
122	6
123	6
124	6
125	6
126	6
127	6
128	7
129	6
130	6
131	6
132	6
133	6
134	6
135	7
136	6
137	6
138	6
139	0
140	9
141	7
142	7
143	0
144	0
145	6
146	0
147	0
148	6
149	6
150	7
151	7
152	6
153	6
154	6
155	7
156	6
157	6
158	6
159	0
160	6
161	0
162	0
163	0
164	2
165	2
166	7
167	2
168	0
169	0
170	0
171	2
172	2
173	7
174	7
175	7
176	7
177	7
178	7
179	7
180	6
181	0
182	6
183	0
184	0
185	0
186	7
187	2
188	6
189	6
190	6
191	0
192	0
193	0
194	1
195	0
196	0
197	0
198	7
199	6
200	0
201	6
202	1
203	1
204	1
205	0
206	6
207	6
208	6
209	6
210	6
211	6
212	6
213	2
214	6
215	6
216	6
217	6
218	6
219	6
220	6
221	6
222	6
223	6
224	6
225	1
226	6
227	6
228	6
229	6
230	6
231	6
232	6
233	7
234	6
235	6
236	6
237	6
238	6
239	6
240	6
241	6
242	6
243	6
244	6
245	6
246	6
247	6
248	6
249	6
250	7
251	6
252	6
253	6
254	6
255	6
256	6
257	6
258	6
259	6
260	6
261	6
262	6
263	6
264	6
265	6
266	6
267	6
268	6
269	6
270	6
271	6
272	6
273	6
274	6
275	6
276	6
277	6
278	6
279	6
280	6
281	6
282	6
283	6
284	6
285	6
286	6
287	6
288	6
289	6
290	6
291	6
292	6
293	6
294	6
295	6
296	6
297	7
298	6
299	6
300	6
301	6
302	2
303	0
304	0
305	6
306	9
307	4
308	4
309	4
310	4
311	8
312	6
313	4
314	4
315	4
316	4
317	4
318	6
319	6
320	6
321	6
322	4
323	0
324	2
325	2
326	2
327	2
328	2
329	2
330	4
331	4
332	4
333	4
334	4
335	4
336	7
337	0
338	7
339	9
340	7
341	7
342	7
343	9
344	9
345	7
346	7
347	7
348	9
349	0
350	3
351	8
352	0
353	3
354	9
355	1
356	0
357	0
358	0
359	7
360	9
361	7
362	9
363	1
364	9
365	5
366	5
367	7
368	0
369	5
370	5
371	7
372	8
373	7
374	7
375	6
376	8
377	6
378	7
379	0
380	1
381	0
382	0
383	7
384	8
385	7
386	7
387	7
388	9
389	7
390	7
391	7
392	9
393	7
394	7
395	9
396	9
397	9
398	0
399	9
400	8
401	8
402	9
403	8
404	8
405	7
406	7
407	7
408	7
409	7
410	7
411	7
412	6
413	6
414	7
415	6
416	6
